name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,description_formated,source,full_text,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,deity
Command Plants,transmutation,,,"druid 4, ranger 3",1 standard action,V,0,close (25 ft. + 5 ft./2 levels),,,"up to 2 HD/level of plant creatures, no two of which can be more than 30 ft. apart",1 day/level,0,0,Will negates,yes,"This spell allows you some degree of control over one or more plant creatures. Affected plant creatures can understand you, and they perceive your words and actions in the most favorable way (treat their attitude as friendly). They will not attack you while the spell lasts. You can try to give a subject orders, but you must win an opposed Charisma check to convince it to do anything it wouldn't ordinarily do. (Retries are not allowed.) A commanded plant never obeys suicidal or obviously harmful orders, but it might be convinced that something very dangerous is worth doing.  You can affect a number of plant creatures whose combined level or HD do not exceed twice your level.","<p>This spell allows you some degree of control over one or more plant creatures. Affected plant creatures can understand you, and they perceive your words and actions in the most favorable way (treat their attitude as friendly). They will not attack you while the spell lasts. You can try to give a subject orders, but you must win an opposed Charisma check to convince it to do anything it wouldn't ordinarily do. (Retries are not allowed.) A commanded plant never obeys suicidal or obviously harmful orders, but it might be convinced that something very dangerous is worth doing.</p><p>You can affect a number of plant creatures whose combined level or HD do not exceed twice your level.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Command Plants</p><div style=""clear: both;""></div></div><div><h5><b>School </b>transmutation; <b>Level </b>druid 4, ranger 3</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V</h5><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Targets </b> up to 2 HD/level of plant creatures, no two of which can be more than 30 ft. apart</h5><h5><b>Duration </b>1 day/level</h5><h5><b>Saving Throw </b>Will negates; <b>Spell Resistance </b>yes</h5></div><div><h4><p>This spell allows you some degree of control over one or more plant creatures. Affected plant creatures can understand you, and they perceive your words and actions in the most favorable way (treat their attitude as friendly). They will not attack you while the spell lasts. You can try to give a subject orders, but you must win an opposed Charisma check to convince it to do anything it wouldn't ordinarily do. (Retries are not allowed.) A commanded plant never obeys suicidal or obviously harmful orders, but it might be convinced that something very dangerous is worth doing.</p><p>You can affect a number of plant creatures whose combined level or HD do not exceed twice your level.</p></h4></div>",1,0,0,0,0,NULL,NULL,NULL,4,3,NULL,NULL,NULL
Command Undead,necromancy,,,sorcerer/wizard 2,1 standard action,"V, S, M (a shred of raw meat and a splinter of bone)",0,close (25 ft. + 5 ft./2 levels),,,one undead creature,1 day/level,0,0,Will negates; see text,yes,"This spell allows you a degree of control over an undead creature. If the subject is intelligent, it perceives your words and actions favorably (treat its attitude as friendly). It will not attack you while the spell lasts. You can give the subject orders, but you must win an opposed Charisma check to convince it to do anything it wouldn't ordinarily do. Retries are not allowed. An intelligent commanded undead never obeys suicidal or obviously harmful orders, but it might be convinced that something very dangerous is worth doing.  A nonintelligent undead creature gets no saving throw against this spell. When you control a mindless being, you can communicate only basic commands, such as ""come here,"" ""go there,"" ""fight,"" ""stand still,"" and so on. Nonintelligent undead won't resist suicidal or obviously harmful orders.  Any act by you or your apparent allies that threatens the commanded undead (regardless of its Intelligence) breaks the spell.  Your commands are not telepathic. The undead creature must be able to hear you.","<p>This spell allows you a degree of control over an undead creature. If the subject is intelligent, it perceives your words and actions favorably (treat its attitude as friendly). It will not attack you while the spell lasts. You can give the subject orders, but you must win an opposed Charisma check to convince it to do anything it wouldn't ordinarily do. Retries are not allowed. An intelligent commanded undead never obeys suicidal or obviously harmful orders, but it might be convinced that something very dangerous is worth doing.</p><p>A nonintelligent undead creature gets no saving throw against this spell. When you control a mindless being, you can communicate only basic commands, such as ""come here,"" ""go there,"" ""fight,"" ""stand still,"" and so on. Nonintelligent undead won't resist suicidal or obviously harmful orders.</p><p>Any act by you or your apparent allies that threatens the commanded undead (regardless of its Intelligence) breaks the spell.</p><p>Your commands are not telepathic. The undead creature must be able to hear you.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Command Undead</p><div style=""clear: both;""></div></div><div><h5><b>School </b>necromancy; <b>Level </b>sorcerer/wizard 2</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (a shred of raw meat and a splinter of bone)</h5><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Targets </b> one undead creature</h5><h5><b>Duration </b>1 day/level</h5><h5><b>Saving Throw </b>Will negates; see text; <b>Spell Resistance </b>yes</h5></div><div><h4><p>This spell allows you a degree of control over an undead creature. If the subject is intelligent, it perceives your words and actions favorably (treat its attitude as friendly). It will not attack you while the spell lasts. You can give the subject orders, but you must win an opposed Charisma check to convince it to do anything it wouldn't ordinarily do. Retries are not allowed. An intelligent commanded undead never obeys suicidal or obviously harmful orders, but it might be convinced that something very dangerous is worth doing.</p><p>A nonintelligent undead creature gets no saving throw against this spell. When you control a mindless being, you can communicate only basic commands, such as ""come here,"" ""go there,"" ""fight,"" ""stand still,"" and so on. Nonintelligent undead won't resist suicidal or obviously harmful orders.</p><p>Any act by you or your apparent allies that threatens the commanded undead (regardless of its Intelligence) breaks the spell.</p><p>Your commands are not telepathic. The undead creature must be able to hear you.</p></h4></div>",1,1,1,0,0,2,2,NULL,NULL,NULL,NULL,NULL,NULL
Commune,divination,,,cleric 5,10 minutes,"V, S, M (holy or unholy water and incense worth 500 gp), DF",1,personal,,,you,1 round/level,0,0,,,"You contact your deity--or agents thereof--and ask questions that can be answered by a simple yes or no. (A cleric of no particular deity contacts a philosophically allied deity.) You are allowed one such question per caster level. The answers given are correct within the limits of the entity's knowledge. ""Unclear"" is a legitimate answer, because powerful beings of the Outer Planes are not necessarily omniscient. In cases where a one-word answer would be misleading or contrary to the deity's interests, a short phrase (five words or less) may be given as an answer instead.  The spell, at best, provides information to aid character decisions. The entities contacted structure their answers to further their own purposes. If you lag, discuss the answers, or go off to do anything else, the spell ends.","<p>You contact your deity--or agents thereof--and ask questions that can be answered by a simple yes or no. (A cleric of no particular deity contacts a philosophically allied deity.) You are allowed one such question per caster level. The answers given are correct within the limits of the entity's knowledge. ""Unclear"" is a legitimate answer, because powerful beings of the Outer Planes are not necessarily omniscient. In cases where a one-word answer would be misleading or contrary to the deity's interests, a short phrase (five words or less) may be given as an answer instead.</p><p>The spell, at best, provides information to aid character decisions. The entities contacted structure their answers to further their own purposes. If you lag, discuss the answers, or go off to do anything else, the spell ends.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Commune</p><div style=""clear: both;""></div></div><div><h5><b>School </b>divination; <b>Level </b>cleric 5</h5><h5><b>Casting Time </b>10 minutes</h5><h5><b>Components </b>V, S, M (holy or unholy water and incense worth 500 gp), DF</h5><h5><b>Range </b>personal</h5><h5><b>Targets </b> you</h5><h5><b>Duration </b>1 round/level</h5></div><div><h4><p>You contact your deity--or agents thereof--and ask questions that can be answered by a simple yes or no. (A cleric of no particular deity contacts a philosophically allied deity.) You are allowed one such question per caster level. The answers given are correct within the limits of the entity's knowledge. ""Unclear"" is a legitimate answer, because powerful beings of the Outer Planes are not necessarily omniscient. In cases where a one-word answer would be misleading or contrary to the deity's interests, a short phrase (five words or less) may be given as an answer instead.</p><p>The spell, at best, provides information to aid character decisions. The entities contacted structure their answers to further their own purposes. If you lag, discuss the answers, or go off to do anything else, the spell ends.</p></h4></div>",1,1,1,0,1,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL
Commune with Nature,divination,,,"druid 5, ranger 4",10 minutes,"V, S",0,personal,,,you,instantaneous,0,0,,,"You become one with nature, attaining knowledge of the surrounding territory. You instantly gain knowledge of as many as three facts from among the following subjects: the ground or terrain, plants, minerals, bodies of water, people, general animal population, presence of woodland creatures, presence of powerful unnatural creatures, or even the general state of the natural setting.  In outdoor settings, the spell operates in a radius of 1 mile per caster level. In natural underground settings--caves, caverns, and the like--the spell is less powerful, and its radius is limited to 100 feet per caster level. The spell does not function where nature has been replaced by construction or settlement, such as in dungeons and towns.","<p>You become one with nature, attaining knowledge of the surrounding territory. You instantly gain knowledge of as many as three facts from among the following subjects: the ground or terrain, plants, minerals, bodies of water, people, general animal population, presence of woodland creatures, presence of powerful unnatural creatures, or even the general state of the natural setting.</p><p>In outdoor settings, the spell operates in a radius of 1 mile per caster level. In natural underground settings--caves, caverns, and the like--the spell is less powerful, and its radius is limited to 100 feet per caster level. The spell does not function where nature has been replaced by construction or settlement, such as in dungeons and towns.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Commune with Nature</p><div style=""clear: both;""></div></div><div><h5><b>School </b>divination; <b>Level </b>druid 5, ranger 4</h5><h5><b>Casting Time </b>10 minutes</h5><h5><b>Components </b>V, S</h5><h5><b>Range </b>personal</h5><h5><b>Targets </b> you</h5><h5><b>Duration </b>instantaneous</h5></div><div><h4><p>You become one with nature, attaining knowledge of the surrounding territory. You instantly gain knowledge of as many as three facts from among the following subjects: the ground or terrain, plants, minerals, bodies of water, people, general animal population, presence of woodland creatures, presence of powerful unnatural creatures, or even the general state of the natural setting.</p><p>In outdoor settings, the spell operates in a radius of 1 mile per caster level. In natural underground settings--caves, caverns, and the like--the spell is less powerful, and its radius is limited to 100 feet per caster level. The spell does not function where nature has been replaced by construction or settlement, such as in dungeons and towns.</p></h4></div>",1,1,0,0,0,NULL,NULL,NULL,5,4,NULL,NULL,NULL
Comprehend Languages,divination,,,"bard 1, cleric 1, sorcerer/wizard 1",1 standard action,"V, S, M/DF (pinch of soot and salt)",0,personal,,,you,10 min./level,0,0,,,"You can understand the spoken words of creatures or read otherwise incomprehensible written messages. The ability to read does not necessarily impart insight into the material, merely its literal meaning. The spell enables you to understand or read an unknown language, not speak or write it. Written material can be read at the rate of one page (250 words) per minute. Magical writing cannot be read, though the spell reveals that it is magical. This spell can be foiled by certain warding magic (such as the secret page and illusory script spells). It does not decipher codes or reveal messages concealed in otherwise normal text. Comprehend languages can be made permanent with a permanency spell.","<p>You can understand the spoken words of creatures or read otherwise incomprehensible written messages. The ability to read does not necessarily impart insight into the material, merely its literal meaning. The spell enables you to understand or read an unknown language, not speak or write it.</p><p>Written material can be read at the rate of one page (250 words) per minute. Magical writing cannot be read, though the spell reveals that it is magical. This spell can be foiled by certain warding magic (such as the <i>secret page</i> and <i>illusory script</i> spells). It does not decipher codes or reveal messages concealed in otherwise normal text.</p><p><i>Comprehend languages</i> can be made permanent with a <i>permanency</i> spell.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Comprehend Languages</p><div style=""clear: both;""></div></div><div><h5><b>School </b>divination; <b>Level </b>bard 1, cleric 1, sorcerer/wizard 1</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M/DF (pinch of soot and salt)</h5><h5><b>Range </b>personal</h5><h5><b>Targets </b> you</h5><h5><b>Duration </b>10 min./level</h5></div><div><h4><p>You can understand the spoken words of creatures or read otherwise incomprehensible written messages. The ability to read does not necessarily impart insight into the material, merely its literal meaning. The spell enables you to understand or read an unknown language, not speak or write it.</p><p>Written material can be read at the rate of one page (250 words) per minute. Magical writing cannot be read, though the spell reveals that it is magical. This spell can be foiled by certain warding magic (such as the <i>secret page</i> and <i>illusory script</i> spells). It does not decipher codes or reveal messages concealed in otherwise normal text.</p><p><i>Comprehend languages</i> can be made permanent with a <i>permanency</i> spell.</p></h4></div>",1,1,1,0,1,1,1,1,NULL,NULL,1,NULL,NULL
Cone of Cold,evocation,,cold,sorcerer/wizard 5,1 standard action,"V, S, M (a small crystal or glass cone)",0,60 ft.,cone-shaped burst,,,instantaneous,0,0,Reflex half,yes,"Cone of cold creates an area of extreme cold, originating at your hand and extending outward in a cone. It drains heat, dealing 1d6 points of cold damage per caster level (maximum 15d6).","<p><i>Cone of cold</i> creates an area of extreme cold, originating at your hand and extending outward in a cone. It drains heat, dealing 1d6 points of cold damage per caster level (maximum 15d6).</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Cone of Cold</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation [cold]; <b>Level </b>sorcerer/wizard 5</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (a small crystal or glass cone)</h5><h5><b>Range </b>60 ft.</h5><h5><b>Area </b>cone-shaped burst</h5><h5><b>Duration </b>instantaneous</h5><h5><b>Saving Throw </b>Reflex half; <b>Spell Resistance </b>yes</h5></div><div><h4><p><i>Cone of cold</i> creates an area of extreme cold, originating at your hand and extending outward in a cone. It drains heat, dealing 1d6 points of cold damage per caster level (maximum 15d6).</p></h4></div>",1,1,1,0,0,5,5,NULL,NULL,NULL,NULL,NULL,NULL
Confusion,enchantment,compulsion,mind-affecting,"bard 3, sorcerer/wizard 4",1 standard action,"V, S, M/DF (three nutshells)",0,medium (100 ft. + 10 ft./level),,,all creatures in a 15-ft.-radius burst,1 round/level,0,0,Will negates,yes,"This spell causes confusion in the targets, making them unable to determine their actions. Roll on the following table at the start of each subject's turn each round to see what it does in that round. d% Behavior 01-25 Act normally 26-50 Do nothing but babble incoherently 51-75 Deal 1d8 points of damage + Str modifier to self with item in hand 76-100 Attack nearest creature (for this purpose, a familiar counts as part of the subject's self)  A confused character who can't carry out the indicated action does nothing but babble incoherently. Attackers are not at any special advantage when attacking a confused character. Any confused character who is attacked automatically attacks its attackers on its next turn, as long as it is still confused when its turn comes. Note that a confused character will not make attacks of opportunity against any creature that it is not already devoted to attacking (either because of its most recent action or because it has just been attacked).","<p>This spell causes confusion in the targets, making them unable to determine their actions. Roll on the following table at the start of each subject's turn each round to see what it does in that round.</p><p><table><tr><th>d%</th><th>Behavior</th></tr> <tr><td>01-25</td><td>Act normally</td></tr> <tr><td>26-50</td><td>Do nothing but babble incoherently</td></tr> <tr><td>51-75</td><td>Deal 1d8 points of damage + Str modifier to self with item in hand</td></tr> <tr><td>76-100</td><td>Attack nearest creature (for this purpose, a familiar counts as part of the subject's self)</td></tr></table>  A confused character who can't carry out the indicated action does nothing but babble incoherently. Attackers are not at any special advantage when attacking a confused character. Any confused character who is attacked automatically attacks its attackers on its next turn, as long as it is still confused when its turn comes. Note that a confused character will not make attacks of opportunity against any creature that it is not already devoted to attacking (either because of its most recent action or because it has just been attacked).</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Confusion</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>bard 3, sorcerer/wizard 4</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M/DF (three nutshells)</h5><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Targets </b> all creatures in a 15-ft.-radius burst</h5><h5><b>Duration </b>1 round/level</h5><h5><b>Saving Throw </b>Will negates; <b>Spell Resistance </b>yes</h5></div><div><h4><p>This spell causes confusion in the targets, making them unable to determine their actions. Roll on the following table at the start of each subject's turn each round to see what it does in that round.</p><p><table><tr><th>d%</th><th>Behavior</th></tr> <tr><td>01-25</td><td>Act normally</td></tr> <tr><td>26-50</td><td>Do nothing but babble incoherently</td></tr> <tr><td>51-75</td><td>Deal 1d8 points of damage + Str modifier to self with item in hand</td></tr> <tr><td>76-100</td><td>Attack nearest creature (for this purpose, a familiar counts as part of the subject's self)</td></tr></table>  A confused character who can't carry out the indicated action does nothing but babble incoherently. Attackers are not at any special advantage when attacking a confused character. Any confused character who is attacked automatically attacks its attackers on its next turn, as long as it is still confused when its turn comes. Note that a confused character will not make attacks of opportunity against any creature that it is not already devoted to attacking (either because of its most recent action or because it has just been attacked).</p></h4></div>",1,1,1,0,1,4,4,NULL,NULL,NULL,3,NULL,NULL
"Confusion, Lesser",enchantment,compulsion,mind-affecting,bard 1,1 standard action,"V, S, DF",0,close (25 ft. + 5 ft./2 levels),,,one living creature,1 round,0,0,Will negates,yes,This spell causes a single creature to become confused for 1 round.,<p>This spell causes a single creature to become confused for 1 round.</p>,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Confusion, Lesser</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>bard 1</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, DF</h5><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Targets </b> one living creature</h5><h5><b>Duration </b>1 round</h5><h5><b>Saving Throw </b>Will negates; <b>Spell Resistance </b>yes</h5></div><div><h4><p>This spell causes a single creature to become confused for 1 round.</p></h4></div>",1,1,0,0,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
Consecrate,evocation,,good,cleric 2,1 standard action,"V, S, M (a vial of holy water and 25 gp worth of silver dust), DF",1,close (25 ft. + 5 ft./2 levels),20-ft.-radius emanation,,,2 hours/level,0,0,none,no,"This spell blesses an area with positive energy. The DC to resist positive channeled energy within this area gains a +3 sacred bonus. Every undead creature entering a consecrated area suffers minor disruption, suffering a -1 penalty on attack rolls, damage rolls, and saves. Undead cannot be created within or summoned into a consecrated area. If the consecrated area contains an altar, shrine, or other permanent fixture dedicated to your deity, pantheon, or aligned higher power, the modifiers given above are doubled (+6 sacred bonus to positive channeled energy DCs, -2 penalties for undead in the area). You cannot consecrate an area with a similar fixture of a deity other than your own patron. Instead, the consecrate spell curses the area, cutting off its connection with the associated deity or power. This secondary function, if used, does not also grant the bonuses and penalties relating to undead, as given above. Consecrate counters and dispels desecrate.","<p>This spell blesses an area with positive energy. The DC to resist positive channeled energy within this area gains a +3 sacred bonus. Every undead creature entering a consecrated area suffers minor disruption, suffering a -1 penalty on attack rolls, damage rolls, and saves. Undead cannot be created within or summoned into a consecrated area. If the consecrated area contains an altar, shrine, or other permanent fixture dedicated to your deity, pantheon, or aligned higher power, the modifiers given above are doubled (+6 sacred bonus to positive channeled energy DCs, -2 penalties for undead in the area).</p><p>You cannot <i>consecrate</i> an area with a similar fixture of a deity other than your own patron. Instead, the consecrate spell curses the area, cutting off its connection with the associated deity or power. This secondary function, if used, does not also grant the bonuses and penalties relating to undead, as given above.</p><p><i>Consecrate</i> counters and dispels <i>desecrate</i>.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Consecrate</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation [good]; <b>Level </b>cleric 2</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (a vial of holy water and 25 gp worth of silver dust), DF</h5><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Area </b>20-ft.-radius emanation</h5><h5><b>Duration </b>2 hours/level</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><div><h4><p>This spell blesses an area with positive energy. The DC to resist positive channeled energy within this area gains a +3 sacred bonus. Every undead creature entering a consecrated area suffers minor disruption, suffering a -1 penalty on attack rolls, damage rolls, and saves. Undead cannot be created within or summoned into a consecrated area. If the consecrated area contains an altar, shrine, or other permanent fixture dedicated to your deity, pantheon, or aligned higher power, the modifiers given above are doubled (+6 sacred bonus to positive channeled energy DCs, -2 penalties for undead in the area).</p><p>You cannot <i>consecrate</i> an area with a similar fixture of a deity other than your own patron. Instead, the consecrate spell curses the area, cutting off its connection with the associated deity or power. This secondary function, if used, does not also grant the bonuses and penalties relating to undead, as given above.</p><p><i>Consecrate</i> counters and dispels <i>desecrate</i>.</p></h4></div>",1,1,1,0,1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
Contact Other Plane,divination,,,sorcerer/wizard 5,10 minutes,V,0,personal,,,you,concentration,0,0,,,"You send your mind to another plane of existence (an Elemental Plane or some plane farther removed) in order to receive advice and information from powers there. See the accompanying table for possible consequences and results of the attempt. The powers reply in a language you understand, but they resent such contact and give only brief answers to your questions. All questions are answered with ""yes,"" ""no,"" ""maybe,"" ""never,"" ""irrelevant,"" or some other one-word answer. You must concentrate on maintaining the spell (a standard action) in order to ask questions at the rate of one per round. A question is answered by the power during the same round. You may ask one question for every two caster levels. Contact with minds far removed from your home plane increases the probability that you will incur a decrease in Intelligence and Charisma due to your brain being overwhelmed, but also increases the chance of the power knowing the answer and answering correctly. Once the Outer Planes are reached, the power of the deity contacted determines the effects. (Random results obtained from the table are subject to the personalities of individual deities.) On rare occasions, this divination may be blocked by an act of certain deities or forces. Avoid Int/Cha Decrease: You must succeed on an Intelligence check against this DC to avoid a decrease in Intelligence and Charisma. If the check fails, your Intelligence and Charisma scores each fall to 8 for the stated duration, and you become unable to cast arcane spells. If you lose Intelligence and Charisma, the effect strikes as soon as the first question is asked, and no answer is received. If a successful contact is made, roll d% to determine the type of answer you gain. True Answer: You get a true, one-word answer. Questions that cannot be answered in this way are answered randomly. Don't Know: The entity tells you that it doesn't know. Lie: The entity intentionally lies to you. Random Answer: The entity tries to lie but doesn't know the answer, so it makes one up.  Plane Contacted  Avoid Int/Cha Decrease  True Answer  Don't Know  Lie  Random Answer Elemental Plane  DC 7/1 week  01-34  35-62  63-83  84-100 Positive/Negative Energy Plane  DC 8/1 week  01-39  40-65  66-86  87-100 Astral Plane  DC 9/1 week  01-44  45-67  68-88  89-100 Outer Plane, demigod  DC 10/2 weeks  01-49  50-70  71-91  92-100 Outer Plane, lesser deity  DC 12/3 weeks  01-60  61-75  76-95  96-100 Outer Plane, intermediate deity  DC 14/4 weeks  01-73  74-81  82-98  99-100 Outer Plane, greater deity","<p>You send your mind to another plane of existence (an Elemental Plane or some plane farther removed) in order to receive advice and information from powers there. See the accompanying table for possible consequences and results of the attempt. The powers reply in a language you understand, but they resent such contact and give only brief answers to your questions. All questions are answered with ""yes,"" ""no,"" ""maybe,"" ""never,"" ""irrelevant,"" or some other one-word answer.</p><p>You must concentrate on maintaining the spell (a standard action) in order to ask questions at the rate of one per round. A question is answered by the power during the same round. You may ask one question for every two caster levels.</p><p>Contact with minds far removed from your home plane increases the probability that you will incur a decrease in Intelligence and Charisma due to your brain being overwhelmed, but also increases the chance of the power knowing the answer and answering correctly. Once the Outer Planes are reached, the power of the deity contacted determines the effects. (Random results obtained from the table are subject to the personalities of individual deities.) On rare occasions, this divination may be blocked by an act of certain deities or forces.</p><p><i>Avoid Int/Cha Decrease</i>: You must succeed on an Intelligence check against this DC to avoid a decrease in Intelligence and Charisma. If the check fails, your Intelligence and Charisma scores each fall to 8 for the stated duration, and you become unable to cast arcane spells. If you lose Intelligence and Charisma, the effect strikes as soon as the first question is asked, and no answer is received. If a successful contact is made, roll d% to determine the type of answer you gain.</p><p><i>True Answer</i>: You get a true, one-word answer. Questions that cannot be answered in this way are answered randomly.</p><p><i>Don't Know</i>: The entity tells you that it doesn't know.</p><p><i>Lie</i>: The entity intentionally lies to you.</p><p><i>Random Answer</i>: The entity tries to lie but doesn't know the answer, so it makes one up.</p><p> <table> <tr> <td>Contact Other Plane</td> </tr> <tr> <th>Plane Contacted</th> <th>Avoid Int/Cha Decrease</th>  <th>True Answer</th> <th>Don't Know</th> <th>Lie</th> <th>Random Answer</th> </tr> <tr> <td>Elemental Plane</td> <td>DC 7/1 week</td> <td>01-34</td>  <td>35-62</td> <td>63-83</td> <td>84-100</td> </tr> <tr> <td>Positive/Negative Energy Plane</td> <td>DC 8/1 week</td> <td>01-39</td> <td>40-65</td> <td>66-86</td>  <td>87-100</td> </tr> <tr> <td>Astral Plane</td> <td>DC 9/1 week</td> <td>01-44</td> <td>45-67</td> <td>68-88</td> <td>89-100</td> </tr>  <tr> <td>Outer Plane, demigod</td> <td>DC 10/2 weeks</td> <td>01-49</td> <td>50-70</td> <td>71-91</td> <td>92-100</td> </tr> <tr> <td>Outer Plane, lesser deity</td>  <td>DC 12/3 weeks</td> <td>01-60</td> <td>61-75</td> <td>76-95</td> <td>96-100</td> </tr> <tr> <td>Outer Plane, intermediate deity</td> <td>DC 14/4 weeks</td> <td>01-73</td>  <td>74-81</td> <td>82-98</td> <td>99-100</td> </tr> <tr> <td>Outer Plane, greater deity</td> <td>DC 16/5 weeks</td> <td>01-88</td> <td>89-90</td> <td>91-99</td>  <td>100</td> </tr> </table></p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Contact Other Plane</p><div style=""clear: both;""></div></div><div><h5><b>School </b>divination; <b>Level </b>sorcerer/wizard 5</h5><h5><b>Casting Time </b>10 minutes</h5><h5><b>Components </b>V</h5><h5><b>Range </b>personal</h5><h5><b>Targets </b> you</h5><h5><b>Duration </b>concentration</h5></div><div><h4><p>You send your mind to another plane of existence (an Elemental Plane or some plane farther removed) in order to receive advice and information from powers there. See the accompanying table for possible consequences and results of the attempt. The powers reply in a language you understand, but they resent such contact and give only brief answers to your questions. All questions are answered with ""yes,"" ""no,"" ""maybe,"" ""never,"" ""irrelevant,"" or some other one-word answer.</p><p>You must concentrate on maintaining the spell (a standard action) in order to ask questions at the rate of one per round. A question is answered by the power during the same round. You may ask one question for every two caster levels.</p><p>Contact with minds far removed from your home plane increases the probability that you will incur a decrease in Intelligence and Charisma due to your brain being overwhelmed, but also increases the chance of the power knowing the answer and answering correctly. Once the Outer Planes are reached, the power of the deity contacted determines the effects. (Random results obtained from the table are subject to the personalities of individual deities.) On rare occasions, this divination may be blocked by an act of certain deities or forces.</p><p><i>Avoid Int/Cha Decrease</i>: You must succeed on an Intelligence check against this DC to avoid a decrease in Intelligence and Charisma. If the check fails, your Intelligence and Charisma scores each fall to 8 for the stated duration, and you become unable to cast arcane spells. If you lose Intelligence and Charisma, the effect strikes as soon as the first question is asked, and no answer is received. If a successful contact is made, roll d% to determine the type of answer you gain.</p><p><i>True Answer</i>: You get a true, one-word answer. Questions that cannot be answered in this way are answered randomly.</p><p><i>Don't Know</i>: The entity tells you that it doesn't know.</p><p><i>Lie</i>: The entity intentionally lies to you.</p><p><i>Random Answer</i>: The entity tries to lie but doesn't know the answer, so it makes one up.</p><p> <table> <tr> <td>Contact Other Plane</td> </tr> <tr> <th>Plane Contacted</th> <th>Avoid Int/Cha Decrease</th>  <th>True Answer</th> <th>Don't Know</th> <th>Lie</th> <th>Random Answer</th> </tr> <tr> <td>Elemental Plane</td> <td>DC 7/1 week</td> <td>01-34</td>  <td>35-62</td> <td>63-83</td> <td>84-100</td> </tr> <tr> <td>Positive/Negative Energy Plane</td> <td>DC 8/1 week</td> <td>01-39</td> <td>40-65</td> <td>66-86</td>  <td>87-100</td> </tr> <tr> <td>Astral Plane</td> <td>DC 9/1 week</td> <td>01-44</td> <td>45-67</td> <td>68-88</td> <td>89-100</td> </tr>  <tr> <td>Outer Plane, demigod</td> <td>DC 10/2 weeks</td> <td>01-49</td> <td>50-70</td> <td>71-91</td> <td>92-100</td> </tr> <tr> <td>Outer Plane, lesser deity</td>  <td>DC 12/3 weeks</td> <td>01-60</td> <td>61-75</td> <td>76-95</td> <td>96-100</td> </tr> <tr> <td>Outer Plane, intermediate deity</td> <td>DC 14/4 weeks</td> <td>01-73</td>  <td>74-81</td> <td>82-98</td> <td>99-100</td> </tr> <tr> <td>Outer Plane, greater deity</td> <td>DC 16/5 weeks</td> <td>01-88</td> <td>89-90</td> <td>91-99</td>  <td>100</td> </tr> </table></p></h4></div>",1,0,0,0,0,5,5,NULL,NULL,NULL,NULL,NULL,NULL
